title,description,price,image,slug,availability,status,sku
Vitamin K2 200µg,"Vitamin K2 MK-7 aus Natto für Knochen und Gefäße. Ideal mit D3 kombinieren. 60 Kapseln.",13.99,,vitamin-k2-200mcg,in_stock,published,SKU-016
Selen 200µg,"Organisches Selenmethionin für Schilddrüse, Immunabwehr und Antioxidation. 90 Tabletten.",9.49,,selen-200mcg,in_stock,published,SKU-017
Biotin 10000µg,"Hochdosiertes Biotin für starkes Haarwachstum, feste Nägel und klare Haut. 90 Tabletten.",10.99,,biotin-10000mcg,in_stock,published,SKU-018
Calcium 600mg,"Calciumcarbonat mit Vitamin D3 und K2 für starke Knochen und Zähne. 120 Tabletten.",8.49,,calcium-600mg,in_stock,published,SKU-019
Vitamin E 400 IE,"Natürliches d-Alpha-Tocopherol als starkes Antioxidans für Zellschutz. 60 Kapseln.",11.49,,vitamin-e-400ie,in_stock,published,SKU-020
Folsäure 800µg,"Aktive Folsäure als Methylfolat – besonders bioverfügbar. Für Zellwachstum. 90 Kapseln.",7.99,,folsaeure-800mcg,in_stock,published,SKU-021
Jod 200µg,"Kaliumjodid für normale Schilddrüsenfunktion und Energiestoffwechsel. 100 Tabletten.",5.99,,jod-200mcg,in_stock,published,SKU-022
Alpha-Liponsäure 600mg,"Kraftvolles Antioxidans für Zellschutz, Blutzucker und Leberfunktion. 60 Kapseln.",19.99,,alpha-liponsaeure-600mg,in_stock,published,SKU-023
Rhodiola Rosea 400mg,"Adaptogene Rosenwurz gegen Erschöpfung, mentalen Stress und Burnout. 60 Kapseln.",17.49,,rhodiola-rosea-400mg,in_stock,published,SKU-024
Ginkgo Biloba 120mg,"Standardisierter Ginkgoextrakt für Durchblutung, Konzentration und Gedächtnis. 60 Tabletten.",12.49,,ginkgo-biloba-120mg,in_stock,published,SKU-025
L-Glutamin 5000mg,"Freie Aminosäure für Muskelregeneration, Darmgesundheit und Immunsystem. 500g Pulver.",27.99,,l-glutamin-5000mg,in_stock,published,SKU-026
BCAA 2:1:1,"Leucin, Isoleucin und Valin im optimalen Verhältnis für Muskelaufbau. 200 Kapseln.",22.49,,bcaa-2-1-1,in_stock,published,SKU-027
Kreatin Monohydrat,"Mikronisiertes Kreatin für mehr Kraft, Ausdauer und schnellere Regeneration. 500g Pulver.",19.49,,kreatin-monohydrat,in_stock,published,SKU-028
L-Carnitin 1000mg,"L-Carnitin Tartrat für Fettstoffwechsel, Energie und Herzgesundheit. 60 Kapseln.",15.49,,l-carnitin-1000mg,low_stock,published,SKU-029
Chrom 200µg,"Organisches Chrompicolinat für stabilen Blutzucker und weniger Heißhunger. 100 Tabletten.",6.49,,chrom-200mcg,in_stock,published,SKU-030
Hyaluronsäure 200mg,"Hochmolekulare Hyaluronsäure für Gelenke, Haut und Augen. 60 Kapseln.",21.99,,hyaluronsaeure-200mg,low_stock,published,SKU-031
MSM 1000mg,"Organischer Schwefel für Gelenke, Knorpel, Haut und Entgiftung. 120 Tabletten.",14.99,,msm-1000mg,in_stock,published,SKU-032
Glucosamin 750mg,"Glucosamin-Sulfat für gesunde Gelenke, Knorpelerhalt und Mobilität. 90 Tabletten.",16.49,,glucosamin-750mg,in_stock,published,SKU-033
Grüntee-Extrakt 500mg,"EGCG-reicher Grünteeextrakt als Antioxidans und natürlicher Stoffwechsel-Booster. 60 Kapseln.",13.49,,gruentee-extrakt-500mg,in_stock,published,SKU-034
Resveratrol 250mg,"Trans-Resveratrol aus Japanischem Knöterich für Zellschutz und Langlebigkeit. 60 Kapseln.",23.99,,resveratrol-250mg,in_stock,published,SKU-035
NAC N-Acetylcystein 600mg,"Glutathion-Vorläufer für Leber, Lunge, Entgiftung und Immunsystem. 60 Kapseln.",16.99,,nac-600mg,in_stock,published,SKU-036
5-HTP 100mg,"Natürlicher Serotonin-Vorläufer für Stimmung, Schlaf und Appetitregulation. 60 Kapseln.",17.99,,5-htp-100mg,low_stock,published,SKU-037
GABA 500mg,"Gamma-Aminobuttersäure zur Entspannung, Stressabbau und Schlafförderung. 60 Kapseln.",14.99,,gaba-500mg,in_stock,published,SKU-038
Mariendistel 600mg,"Silymarin-Extrakt mit 80% Wirkstoffgehalt zum Schutz und Regeneration der Leber. 60 Kapseln.",12.99,,mariendistel-600mg,in_stock,published,SKU-039
Artischocken-Extrakt 500mg,"Fördert Verdauung, Gallenfluss und senkt natürlich den Cholesterinspiegel. 60 Kapseln.",11.49,,artischocken-extrakt-500mg,in_stock,published,SKU-040
Whey Protein Schoko,"Premium Molkenprotein-Isolat mit Schokoladengeschmack – 25g Protein pro Portion. 1kg Beutel.",34.99,,whey-protein-schoko,in_stock,published,SKU-041
Casein Protein Vanilla,"Langsam verdauliches Nachtprotein für kontinuierliche Aminosäureversorgung. 1kg Beutel.",36.99,,casein-protein-vanilla,in_stock,published,SKU-042
Veganes Protein Erdbeer,"Pflanzliche Proteinmischung aus Erbse und Reis mit Erdbeergeschmack. 800g Beutel.",32.99,,veganes-protein-erdbeer,in_stock,published,SKU-043
Pre-Workout Boost,"Koffein, Beta-Alanin und Citrullin für maximale Leistung im Training. 300g Pulver.",28.99,,pre-workout-boost,in_stock,published,SKU-044
Elektrolyt-Pulver,"Natrium, Kalium, Magnesium und Calcium für optimale Hydration. 400g Pulver.",19.99,,elektrolyt-pulver,in_stock,published,SKU-045
Vitamin A 5000 IE,"Retinol für Sehkraft, Immunsystem und Hautgesundheit. 90 Weichkapseln.",8.99,,vitamin-a-5000ie,in_stock,published,SKU-046
Pantothensäure B5 500mg,"Vitamin B5 für Energiestoffwechsel, Hormone und Wundheilung. 90 Kapseln.",9.99,,pantothensaeure-b5-500mg,in_stock,published,SKU-047
Inositol 500mg,"Myo-Inositol für hormonelle Balance, PCOS und Nervensystem. 90 Kapseln.",14.49,,inositol-500mg,low_stock,published,SKU-048
Lutein & Zeaxanthin,"Augen-Nährstoffe zum Schutz vor Blaulicht und altersbedingt. Makulaformel. 60 Kapseln.",18.99,,lutein-zeaxanthin,in_stock,published,SKU-049
Schwarzkümmelöl 500mg,"Kaltgepresstes Nigella Sativa Öl – für Allergie, Immunsystem und Entzündungen. 60 Kapseln.",15.99,,schwarzkuemeloel-500mg,in_stock,published,SKU-050
